knowledge_id,file_name,primary_upload_agent_id,primary_upload_agent,recommended_agent_labels,knowledge_type,domain,title,source_type,project_id
KB001,KB001_企业基础_公司简介.md,A03,企业知识管家,A03_企业知识管家;A05_企业文档创作官,ENTERPRISE_FOUNDATION,企业基础,公司简介,SYNTHETIC,
KB002,KB002_企业基础_组织架构.md,A03,企业知识管家,A02_AI项目经理;A03_企业知识管家;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,ENTERPRISE_FOUNDATION,企业基础,组织架构,SYNTHETIC,
KB003,KB003_企业基础_部门职责.md,A03,企业知识管家,A02_AI项目经理;A03_企业知识管家;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,ENTERPRISE_FOUNDATION,企业基础,部门职责,SYNTHETIC,
KB004,KB004_企业基础_项目制协作模型.md,A03,企业知识管家,A01_需求洞察与方案顾问;A02_AI项目经理;A03_企业知识管家;A04_智能会议协同官;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,ENTERPRISE_FOUNDATION,企业基础,项目制协作模型,SYNTHETIC,
KB005,KB005_企业基础_权限审批基本原则.md,A03,企业知识管家,A02_AI项目经理;A03_企业知识管家;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,ENTERPRISE_FOUNDATION,企业基础,权限审批基本原则,SYNTHETIC,
KB006,KB006_企业基础_知识治理与冲突解析.md,A03,企业知识管家,A03_企业知识管家;A05_企业文档创作官;A06_文档规范与排版官;A10_招投标审查官;A11_合同与履约风控官,ENTERPRISE_FOUNDATION,企业基础,知识治理与冲突解析,SYNTHETIC,
KB007,KB007_企业基础_数据分类分级.md,A03,企业知识管家,A03_企业知识管家;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,ENTERPRISE_FOUNDATION,信息安全数据治理,数据分类分级,SYNTHETIC,
KB008,KB008_企业基础_文档与版本规则.md,A03,企业知识管家,A03_企业知识管家;A05_企业文档创作官;A06_文档规范与排版官;A10_招投标审查官;A11_合同与履约风控官,ENTERPRISE_FOUNDATION,企业文档,文档与版本规则,SYNTHETIC,
KB009,KB009_企业基础_风险等级规则.md,A02,AI项目经理,A01_需求洞察与方案顾问;A02_AI项目经理;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,ENTERPRISE_FOUNDATION,信息安全数据治理,风险等级规则,SYNTHETIC,
KB010,KB010_企业基础_业务术语表.md,A03,企业知识管家,A01_需求洞察与方案顾问;A02_AI项目经理;A03_企业知识管家;A04_智能会议协同官;A05_企业文档创作官;A06_文档规范与排版官;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,ENTERPRISE_FOUNDATION,企业基础,业务术语表,SYNTHETIC,
KB011,KB011_企业基础_企业主业务链.md,A03,企业知识管家,A01_需求洞察与方案顾问;A02_AI项目经理;A03_企业知识管家;A04_智能会议协同官;A05_企业文档创作官;A06_文档规范与排版官;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,ENTERPRISE_FOUNDATION,企业基础,企业主业务链,SYNTHETIC,
KB012,KB012_企业基础_模拟企业与数据声明.md,A03,企业知识管家,A01_需求洞察与方案顾问;A02_AI项目经理;A03_企业知识管家;A04_智能会议协同官;A05_企业文档创作官;A06_文档规范与排版官;A07_AI招聘与人才助手;A08_培训绩效与员工发展助手;A09_智能采购顾问;A10_招投标审查官;A11_合同与履约风控官;A12_企业经营分析师,ENTERPRISE_FOUNDATION,企业基础,模拟企业与数据声明,SYNTHETIC,
REF001,REF001_公开依据_劳动合同相关规则.md,A07,AI招聘与人才助手,A07_AI招聘与人才助手;A08_培训绩效与员工发展助手,PUBLIC_REFERENCE,人力资源,劳动合同相关规则,PUBLIC_OFFICIAL,
