source_id,title,publisher,source_type,domain,publication_date,effective_date,status,url,access_date,authority_level,source_authority,normative_force,applicability,specificity,applicable_scope,summary,used_by,verification_status,notes
SRC-LAW-001,中华人民共和国劳动合同法,全国人民代表大会常务委员会,PUBLIC_OFFICIAL,人力资源,2007-06-29,2008-01-01,active,http://www.npc.gov.cn/zgrdw//npc///xinwen/lfgz/zxfl/2007-06/29/content_368169.htm,2026-09-12,L0,OFFICIAL,MANDATORY,DIRECT,DOMAIN,中国境内用人单位与劳动者,规范劳动合同订立/履行/变更/解除/终止及劳务派遣、非全日制用工等特别规定，2012-12-28 修订,REF001;REF002;POL001;POL002;POL003,VERIFIED,Stage 2 真实访问核验（2026-09-12）；原文 98 条；星澜人力资源、招聘、培训制度的上位强制依据
SRC-STD-001,GB/T 22239-2019 信息安全技术 网络安全等级保护基本要求,国家市场监督管理总局、中国国家标准化管理委员会,PUBLIC_OFFICIAL,信息安全数据治理,2019-05-10,2019-12-01,active,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=BAFB47E8874764186BDB7865E8344DAF,2026-09-12,L0,OFFICIAL,GUIDANCE,CONDITIONAL,DOMAIN,中国境内等级保护对象（基础信息网络/信息系统/云计算/大数据/物联网/工业控制系统）,规定五级安全保护能力、通用要求（物理/通信/区域边界/计算/管理中心/管理制度/管理机构/管理人员/建设管理/运维管理）和云计算/移动互联/物联网/工控扩展要求；替代 GB/T 22239—2008,REF011;POL017,VERIFIED,Stage 2 真实访问核验（2026-09-12）；openstd.samr.gov.cn 国家标准全文公开系统；GB/T 是推荐性国家标准，企业是否按其落地取决于合规要求、合同约定或第三方认证（如等保测评）
SRC-MOF-001,中华人民共和国政府采购法（2014 修正）,全国人民代表大会常务委员会,PUBLIC_OFFICIAL,采购,2002-06-29,2003-01-01,active,https://www.ccgp.gov.cn/zcfg/gjfg/201310/t20131029_3587339.htm,2026-09-12,L0,OFFICIAL,REFERENCE,ANALOGICAL,DOMAIN,国家机关/事业单位/团体组织使用财政性资金的采购,规范政府采购当事人、方式、程序、合同与监督责任；含 9 章 88 条；2014-08-31 修正（第 19、71、78 条）。,REF005;POL011;POL013;POL014,VERIFIED,Stage 2 真实访问核验（2026-09-12）；星澜作为参与政府采购的供应商身份间接适用，星澜内部企业采购必须参考但不能照搬，须以自有采购阈值为准
SRC-CORP-001,中国石油化工股份有限公司 2024 年度内部控制评价报告,中国石油化工股份有限公司（上海证券交易所 600028）,PUBLIC_CORPORATE,企业管理,2025-03-24,2025-03-24,active,http://dataclouds.cninfo.com.cn/shgonggao/2025/2025-03-24/b6bf80ae07b911f0bd3ffa163e957f7a.pdf,2026-09-12,L5,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,DOMAIN,上市公司内部控制建设和自评,上市公司根据《企业内部控制基本规范》及其配套指引出具的内部控制自评报告，含内控评价结论与主要控制领域。,REF014;POL015;POL004,VERIFIED,Stage 2.1 更正：600028 为上交所证券代码，非深交所；巨潮为法定信息披露平台之一；仅作行业外公开实践类比
SRC-BID-001,政府采购需求管理办法（财库〔2021〕22号）,中华人民共和国财政部,PUBLIC_OFFICIAL,采购需求,2021-04-30,2021-07-01,active,https://www.mof.gov.cn/jrttts/202105/t20210511_3699759.htm,2026-09-12,L0,OFFICIAL,REFERENCE,ANALOGICAL,DOMAIN,政府采购人确定采购需求和编制采购实施计划,规定采购需求与实施计划的确定、风险控制和审查；内部企业采购仅可类比其需求可量化和风险管理方法。,REF013;POL011;POL013,VERIFIED,Stage 2.1 访问财政部通知及附件核验；不将政府采购人义务误作星澜内部强制规则
SRC-SYN-001,Canonical Facts 合成企业基线,星澜 Stage 1.1,SYNTHETIC,企业基础,,2026-09-12,active,repo://enterprise_model/CANONICAL_FACTS.yaml,2026-09-12,L1,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,ENTERPRISE,模拟企业全域,唯一内部合成事实源,KB001-KB012,VERIFIED,模拟企业唯一事实源，不代表真实企业
SRC-LAW-007,电子招标投标办法（八部委令第20号）,国家发展改革委等八部委（含工信部/监察部/住建部/交通部/水利部/商务部）,PUBLIC_OFFICIAL,招投标,2013-02-04,2013-05-01,active,https://zfxxgk.ndrc.gov.cn/web/iteminfo.jsp?id=18458,2026-09-12,L0,OFFICIAL,REFERENCE,CONDITIONAL,DOMAIN,中国境内电子招标投标活动（含交易/公共服务/行政监督）,规范交易平台/电子招标/电子投标/电子开标评标/信息共享/监督管理，附《电子招标投标系统技术规范》第1部分；含 9 章 66 条,REF007;POL013,VERIFIED,Stage 2 真实访问核验（2026-09-12）；zfxxgk.ndrc.gov.cn 发改委政府信息公开专栏；星澜内部电子采购平台建设可参考其技术规范；星澜参与依法必须招投标的电子招投标项目时直接适用
SRC-LAW-008,中华人民共和国档案法（2020 修订）,全国人民代表大会常务委员会,PUBLIC_OFFICIAL,文档管理,2020-06-20,2021-01-01,active,https://www.saac.gov.cn/daj/yaow/202006/cfc8c422e68f4d3aae46389a3c470a5f.shtml,2026-09-12,L0,OFFICIAL,MANDATORY,DIRECT,DOMAIN,从事档案收集/整理/保护/利用及其监督管理活动（含机关/团体/企业事业单位/其他组织/个人）,含 8 章 53 条（增设档案信息化建设、监督检查两章）；档案自形成满 25 年向社会开放；电子档案与传统载体档案同等效力,REF009;POL009;POL010,VERIFIED,Stage 2 真实访问核验（2026-09-12）；saac.gov.cn 国家档案局主席令第四十七号原文；星澜作为企业事业单位对研发/建设/生产/经营/服务活动形成的档案负有归档责任
SRC-LAW-009,中华人民共和国会计法（2024 修正）,全国人民代表大会常务委员会,PUBLIC_OFFICIAL,财务,1985-01-21,2024-07-01,active,https://kjs.mof.gov.cn/zt/kjfxcgc/kjfqw/202408/t20240814_3941788.htm,2026-09-12,L0,OFFICIAL,MANDATORY,DIRECT,DOMAIN,国家机关/社会团体/公司/企业/事业单位和其他组织的会计事务,规范会计核算（凭证/账簿/财务会计报告）、会计监督（与内控整合）、会计机构与人员；规定会计年度 1.1-12.31、人民币为记账本位币、任用会计人员专业能力与职业道德、财务造假 5 年禁业；2024 第三次修正,REF010;POL015;POL016,VERIFIED,Stage 2 真实访问核验（2026-09-12）；mof.gov.cn 财政部会计司发布；星澜作为企业必须设置会计账簿、建立健全单位内部会计监督制度并纳入内控
SRC-LAW-003,中华人民共和国个人信息保护法,全国人民代表大会常务委员会,PUBLIC_OFFICIAL,信息安全数据治理,2021-08-20,2021-11-01,active,https://wb.flk.npc.gov.cn/flfg/PDF/f67af9f12e1b4c83a998cf5a876ce0e4.pdf,2026-09-12,L0,OFFICIAL,MANDATORY,DIRECT,DOMAIN,中国境内处理自然人个人信息活动,规范个人信息处理规则（含敏感个人信息、个人信息跨境提供、个人权利、处理者义务）、履行部门与法律责任；含 8 章 74 条,REF002;POL001;POL002;POL017;POL018,VERIFIED,Stage 2 真实访问核验（2026-09-12）；flk.npc.gov.cn 全国人大法律法规数据库收录；星澜招聘（候选人信息、测评数据）与产品运营（用户数据、行为记录）直接受本法约束
