knowledge_id,filename,title,domain,knowledge_type,priority,package,served_agents,business_chain_stage,source_strategy,source_type,required_source_categories,minimum_source_count,synthetic_fields,source_requirement,parent_knowledge,depends_on,dependency_rationale,source_authority,normative_force,applicability,status,notes
KB001,KB001_企业基础_公司简介.md,公司简介,企业基础,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A03;A05,B01;B18,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,,,企业唯一事实源的直接可读入口。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB002,KB002_企业基础_组织架构.md,组织架构,企业基础,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A02;A03;A07;A08,B04;B06,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB001,KB001,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB003,KB003_企业基础_部门职责.md,部门职责,企业基础,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A02;A03;A07;A08;A09;A10;A11;A12,B04;B06;B09;B10;B11,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB002,KB002,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB004,KB004_企业基础_项目制协作模型.md,项目制协作模型,企业基础,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A01;A02;A03;A04;A09;A10;A11;A12,B04;B05;B12;B18,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB003,KB003,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB005,KB005_企业基础_权限审批基本原则.md,权限审批基本原则,企业基础,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A02;A03;A09;A10;A11;A12,B04;B09;B10;B11;B14,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB003,KB003,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB006,KB006_企业基础_知识治理与冲突解析.md,知识治理与冲突解析,企业基础,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A03;A05;A06;A10;A11,B01;B02;B03;B18,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB001,KB001,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB007,KB007_企业基础_数据分类分级.md,数据分类分级,信息安全数据治理,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A03;A09;A10;A11;A12,B09;B10;B11;B12;B14,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB006,KB006,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB008,KB008_企业基础_文档与版本规则.md,文档与版本规则,企业文档,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A03;A05;A06;A10;A11,B02;B03;B12;B18,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB006,KB006,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB009,KB009_企业基础_风险等级规则.md,风险等级规则,信息安全数据治理,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A01;A02;A09;A10;A11;A12,B09;B10;B11;B14,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB007,KB007,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB010,KB010_企业基础_业务术语表.md,业务术语表,企业基础,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A12,B01;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;B13;B14;B15;B16;B17;B18,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB001,KB001,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB011,KB011_企业基础_企业主业务链.md,企业主业务链,企业基础,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A12,B01;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;B13;B14;B15;B16;B17;B18,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB004,KB004,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
KB012,KB012_企业基础_模拟企业与数据声明.md,模拟企业与数据声明,企业基础,ENTERPRISE_FOUNDATION,P0,PACKAGE-01,A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A12,B18,CANONICAL_FACTS + synthetic enterprise design,SYNTHETIC,,0,企业名称;组织;内部规则,Canonical Facts,KB001,KB001,由企业唯一事实源建立基础知识层级。,SYNTHETIC,INTERNAL_MANDATORY,DIRECT,planned,模拟企业基础；以 enterprise_model/CANONICAL_FACTS.yaml 为准
REF001,REF001_公开依据_劳动合同相关规则.md,劳动合同相关规则,人力资源,PUBLIC_REFERENCE,P1,PACKAGE-01,A07;A08,B06;B07;B08,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,CONDITIONAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF002,REF002_公开依据_个人信息保护相关规则.md,个人信息保护相关规则,信息安全数据治理,PUBLIC_REFERENCE,P1,PACKAGE-01,A03;A07;A11,B07;B08;B12,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,DIRECT,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF003,REF003_公开依据_数据安全相关规则.md,数据安全相关规则,信息安全数据治理,PUBLIC_REFERENCE,P1,PACKAGE-01,A03;A10;A11;A12,B10;B11;B12;B14,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,DIRECT,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF004,REF004_公开依据_网络安全相关规则.md,网络安全相关规则,信息安全数据治理,PUBLIC_REFERENCE,P1,PACKAGE-01,A03;A10;A11,B10;B12;B14,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,CONDITIONAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF005,REF005_公开依据_政府采购基本规则.md,政府采购基本规则,公共法规标准,PUBLIC_REFERENCE,P1,PACKAGE-01,A09;A10;A11,B09;B10;B11,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,ANALOGICAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF006,REF006_公开依据_招标投标基本规则.md,招标投标基本规则,公共法规标准,PUBLIC_REFERENCE,P1,PACKAGE-01,A01;A09;A10;A11,B03;B10;B11,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,CONDITIONAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF007,REF007_公开依据_电子招标投标规则.md,电子招标投标规则,公共法规标准,PUBLIC_REFERENCE,P1,PACKAGE-01,A09;A10,B09;B10,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,CONDITIONAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF008,REF008_公开依据_合同示范与民商事规则.md,合同示范与民商事规则,公共法规标准,PUBLIC_REFERENCE,P1,PACKAGE-01,A01;A10;A11,B03;B10;B11,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,CONDITIONAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF009,REF009_公开依据_档案管理相关规则.md,档案管理相关规则,公共法规标准,PUBLIC_REFERENCE,P1,PACKAGE-01,A03;A04;A05,B13;B16;B18,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,CONDITIONAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF010,REF010_公开依据_会计与项目成本规则.md,会计与项目成本规则,公共法规标准,PUBLIC_REFERENCE,P1,PACKAGE-01,A02;A12,B04;B16;B17,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,DIRECT,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF011,REF011_公开依据_信息安全管理体系参考.md,信息安全管理体系参考,公共法规标准,PUBLIC_REFERENCE,P1,PACKAGE-01,A03;A10;A11,B10;B11;B12;B14,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,ANALOGICAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF012,REF012_公开依据_项目管理实践参考.md,项目管理实践参考,公共法规标准,PUBLIC_REFERENCE,P1,PACKAGE-01,A02;A04;A12,B04;B05;B12;B16,Stage 2 authoritative-source collection,PUBLIC_CORPORATE,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF013,REF013_公开依据_采购需求编制参考.md,采购需求编制参考,公共法规标准,PUBLIC_REFERENCE,P1,PACKAGE-01,A01;A09;A10,B03;B09;B10,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,ANALOGICAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF014,REF014_公开依据_企业内部控制参考.md,企业内部控制参考,公共法规标准,PUBLIC_REFERENCE,P1,PACKAGE-01,A02;A09;A11;A12,B09;B11;B14;B17,Stage 2 authoritative-source collection,PUBLIC_OFFICIAL,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,OFFICIAL,REFERENCE,ANALOGICAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF015,REF015_公开依据_人力资源管理实践参考.md,人力资源管理实践参考,公共企业实践,PUBLIC_REFERENCE,P1,PACKAGE-01,A07;A08,B06;B07;B08,Stage 2 authoritative-source collection,PUBLIC_CORPORATE,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF016,REF016_公开依据_会议治理实践参考.md,会议治理实践参考,公共企业实践,PUBLIC_REFERENCE,P1,PACKAGE-01,A02;A04;A05,B05;B13;B16,Stage 2 authoritative-source collection,PUBLIC_CORPORATE,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF017,REF017_公开依据_知识管理实践参考.md,知识管理实践参考,公共企业实践,PUBLIC_REFERENCE,P1,PACKAGE-01,A03;A05;A06,B12;B16;B18,Stage 2 authoritative-source collection,PUBLIC_CORPORATE,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,PUBLIC_CORPORATE,REFERENCE,ANALOGICAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
REF018,REF018_公开依据_公开政企项目案例研究方法.md,公开政企项目案例研究方法,公共案例,PUBLIC_REFERENCE,P1,PACKAGE-01,A01;A02;A10;A12,B01;B03;B12;B17,Stage 2 authoritative-source collection,PUBLIC_CASE,官方规则;公开实践或案例,1,,Stage 2 核验适用范围与有效性,KB006,KB006,公开资料须经适用性、效力与版本判断后使用。,PUBLIC_CASE,REFERENCE,ANALOGICAL,planned,Stage 1.1 仅规划来源；未搜集外部资料
POL001,POL001_企业制度_人力资源管理办法.md,人力资源管理办法,人力资源,POLICY,P1,PACKAGE-01,A03;A07;A08,B06;B07;B08,PUBLIC_OFFICIAL + PUBLIC_CORPORATE/PUBLIC_CASE + SYNTHETIC_PARAMETERS,SYNTHETIC_DERIVED,劳动与用工官方规则;个人信息保护规则;企业人力资源实践,3,岗位体系;审批层级;员工规模,Stage 2 至少核验三类来源；内部参数必须与公共依据分层,KB005,KB003;REF001;REF002;REF015,制度综合适用公共依据、公开实践和星澜内部参数。,INTERNAL_DERIVED,INTERNAL_MANDATORY,DIRECT,planned,
