business_chain_id,stage_name,sequence,knowledge_ids,primary_domains,notes
B01,客户需求,01,KB001;KB006;KB010;KB011;REF018;SOP001;ROLE002;P001_01;P002_01;P003_01;TPL002;DATA002,企业基础;公共案例;项目管理;结构化业务数据,由语义策展后的 Manifest 生成；资产变更时同步重建
B02,需求澄清,02,KB006;KB008;KB010;KB011;SOP001;SOP002;SOP009;ROLE002;ROLE003;P001_01;P001_02;P001_03;P002_01;P002_02;P002_03;P003_01;P003_02;P003_03;TPL002;TPL003,企业基础;企业文档;项目管理,由语义策展后的 Manifest 生成；资产变更时同步重建
B03,解决方案,03,KB006;KB008;KB010;KB011;REF006;REF008;REF013;REF018;POL006;POL013;POL014;POL018;SOP002;SOP003;SOP009;SOP022;SOP023;SOP024;ROLE002;ROLE003;ROLE004;P001_03;P001_04;P001_05;P002_03;P002_04;P002_05;P003_03;P003_04;P003_05;TPL001;TPL003;DATA002,企业基础;企业文档;公共法规标准;公共案例;项目管理;招投标;合同履约;信息安全数据治理;公文规范;财务;结构化业务数据,由语义策展后的 Manifest 生成；资产变更时同步重建
B04,项目立项,04,KB002;KB003;KB004;KB005;KB010;KB011;REF010;REF012;POL005;POL006;POL015;SOP003;SOP004;SOP006;ROLE001;ROLE007;P001_06;P002_06;P003_06;TPL001;DATA004;DATA009,企业基础;公共法规标准;项目管理;财务;结构化业务数据,由语义策展后的 Manifest 生成；资产变更时同步重建
B05,项目计划,05,KB004;KB010;KB011;REF012;REF016;POL005;POL007;POL008;POL016;SOP004;SOP005;SOP006;SOP007;ROLE001;ROLE010;P001_07;P001_08;P002_07;P002_08;P003_07;P003_08;TPL004,企业基础;公共法规标准;公共企业实践;项目管理;会议协同;财务,由语义策展后的 Manifest 生成；资产变更时同步重建
B06,人员配置,06,KB002;KB003;KB010;KB011;REF001;REF015;POL001;POL002;POL004;SOP005;SOP014;SOP025;FAQ001;FAQ003;ROLE006;P001_09;P002_09;P002_28;P003_09;DATA001;DATA007;DATA011,企业基础;人力资源;公共企业实践;招聘;培训绩效;项目管理;结构化业务数据,由语义策展后的 Manifest 生成；资产变更时同步重建
B07,招聘,07,KB010;KB011;REF001;REF002;REF015;POL001;POL002;POL003;SOP014;SOP015;FAQ002;ROLE006;P001_10;P002_10;P003_10;TPL015;TPL016;DATA001;DATA011,企业基础;人力资源;信息安全数据治理;公共企业实践;招聘;培训绩效;结构化业务数据,由语义策展后的 Manifest 生成；资产变更时同步重建
B08,培训,08,KB010;KB011;REF001;REF002;REF015;POL001;POL003;POL004;SOP015;SOP025;SOP026;SOP027;SOP028;FAQ001;FAQ003;ROLE006;TPL017;TPL023;TPL024;TPL025;DATA001;DATA011,企业基础;人力资源;信息安全数据治理;公共企业实践;培训绩效;招聘;结构化业务数据,由语义策展后的 Manifest 生成；资产变更时同步重建
B09,采购,09,KB003;KB005;KB007;KB009;KB010;KB011;REF005;REF007;REF013;REF014;POL011;POL012;POL015;SOP016;SOP017;FAQ007;FAQ008;FAQ012;ROLE005;ROLE007;P001_11;P001_12;P001_13;P002_11;P002_12;P002_13;P003_11;P003_12;P003_13;P003_25;TPL018;TPL019;DATA003;DATA006,企业基础;信息安全数据治理;公共法规标准;采购;供应商;财务;结构化业务数据,由语义策展后的 Manifest 生成；资产变更时同步重建
B10,招投标,10,KB003;KB005;KB007;KB009;KB010;KB011;REF003;REF004;REF005;REF006;REF007;REF008;REF011;REF013;POL011;POL012;POL013;POL014;POL017;POL018;SOP017;SOP029;SOP030;FAQ007;FAQ009;FAQ012;ROLE005;ROLE008;P001_13;P001_14;P001_25;P001_26;P001_27;P001_28;P001_29;P001_30;P001_31;P001_32;P001_33;P002_13;P002_14;P003_13;P003_14;TPL019;TPL026;TPL027;TPL028;DATA003,企业基础;信息安全数据治理;公共法规标准;采购;供应商;招投标;合同履约;结构化业务数据,由语义策展后的 Manifest 生成；资产变更时同步重建
