event_id,project_id,date,event_type,title,actors,trigger,decision,impact_scope,impact_schedule,impact_cost,related_case_ids,related_risk_id,related_change_id,status
EVT-P001-001,P001,2023-11-20,招投标,客户发布智慧园区AI数字人平台招标文件,客户园区运营部王劭,园区数字化升级预算批复,星澜启动投标评估,无,无,无,P001_25;P001_14,,,closed
EVT-P001-002,P001,2023-11-27,招投标,招标文件审查完成并提出2处澄清,法务谭肃;市场投标组,招标文件交付物定义与付款节点表述模糊,向招标方提出书面澄清并获得答复,投标范围明确,无,无,P001_26,,,closed
EVT-P001-003,P001,2023-12-05,会议,投标决策会决定投标,总经理办公会;市场负责人;解决方案顾问沈望,招标澄清答复满足承接条件,决定投标并锁定报价区间,无,无,无,P001_14,,,closed
EVT-P001-004,P001,2023-12-22,招投标,投标文件编制完成并通过AI预审与人工复核,沈望;法务谭肃;采购柯岚,投标决策,AI预审发现12项问题全部闭环后定稿,资格商务技术评分材料相互对应,无,无,P001_27;P001_28;P001_29;P001_30;P001_31;P001_32;P001_33,,,closed
EVT-P001-005,P001,2023-12-26,招投标,投标文件提交,沈望,投标截止日,按时提交,无,无,无,P001_27,,,closed
EVT-P001-006,P001,2024-01-09,招投标,收到中标通知书合同金额360万元,市场负责人,评标结果公示,进入合同谈判,合同金额锁定360万元,无,无,P001_16,,,closed
EVT-P001-007,P001,2024-01-15,合同,合同审核意见出具3条修改均获采纳,法务谭肃;财务宋仪,中标后合同文本审查,付款节点与验收标准条款细化,合同风险降低,无,无,P001_15,,,closed
EVT-P001-008,P001,2024-01-22,合同,合同P001-C01签署360万元付款30/40/30,总经理;客户王劭,审核意见落实,正式签署,合同基线确立,无,无,P001_16,,,closed
EVT-P001-009,P001,2024-01-29,立项,项目立项批准预算300万元编制14人,PMO;财务宋仪;项目经理林澄,合同签署,批准立项并下达预算与编制,项目基线确立,计划2024-02-01至2024-10-31,预算300万元,P001_06,,,closed
EVT-P001-010,P001,2024-02-05,启动,项目启动会召开,林澄;全体项目组;客户王劭,立项完成,确认章程与沟通机制,无,实际启动较计划晚4天属正常准备,无,P001_08,,,closed
EVT-P001-011,P001,2024-02-19,需求,两轮现场需求调研完成,林澄;产品经理;客户各部门,启动会安排,形成调研记录并梳理需求项,需求范围清晰,无,无,P001_01;P001_02,,,closed
EVT-P001-012,P001,2024-03-14,需求,需求基线确认v1.0提前1天,林澄;客户王劭,调研成果评审,冻结需求基线,范围基线锁定,提前1天,无,P001_03,,,closed
EVT-P001-013,P001,2024-03-18,人员,人员配置计划确认并启动2名交互工程师招聘,林澄;HRBP,基线确认后资源落实,14人编制分批到位,关键岗位无缺口,无,无,P001_09;P001_10,,,closed
EVT-P001-014,P001,2024-03-20,采购,渲染与展示设备采购申请PR-P001-01金额42万元,林澄;采购柯岚,方案设计需要展示设备,按竞争性采购流程执行,设备纳入交付计划,不影响关键路径,42万元,P001_11;P001_12,,,closed
EVT-P001-015,P001,2024-04-02,采购,三家供应商比选完成并选定,柯岚;技术负责人韩峥;法务谭肃,采购申请批准,选定综合评分最高供应商,无,无,42万元,P001_13,,,closed
EVT-P001-016,P001,2024-05-13,风险,识别风险P001-R01园区接口联调窗口有限,林澄;韩峥,园区方告知接口联调需排队,登记L2风险并制定应对,联调计划存在不确定性,潜在2至4周影响,无,P001_18,P001-R01,,closed
EVT-P001-017,P001,2024-05-24,会议,与园区方锁定每月两个联调窗口,林澄;客户王劭,P001-R01应对,会议纪要MTG-P001-05确认窗口安排,联调风险受控,消除潜在延期,无,P001_17;P001_18,P001-R01,,closed
EVT-P001-018,P001,2024-06-10,采购,渲染与展示设备到货验收,柯岚;韩峥,供应商交付,到货验收合格,无,无,42万元,P001_11,,,closed
EVT-P001-019,P001,2024-06-18,变更,变更P001-CH01展示终端点位微调增加2个点位,客户王劭;林澄,园区新区域展示需求,批准变更以预备费吸收3.2万元,增加2个展示点位,不影响终验日期,3.2万元预算内吸收,P001_19,,P001-CH01,closed
EVT-P001-020,P001,2024-08-30,风险,风险P001-R01关闭联调按计划完成,林澄;韩峥,联调窗口机制有效运行,关闭风险,无,无,无,P001_18,P001-R01,,closed
EVT-P001-021,P001,2024-09-27,里程碑,平台上线提前3天,全体项目组,开发联调完成,按计划切换上线,全部功能上线,提前3天,无,P001_17,,,closed
EVT-P001-022,P001,2024-10-14,验收,验收测试启动按验收方案执行,林澄;客户验收组,上线稳定运行,启动ACC-P001-01验收流程,验收证据按里程碑归档,无,无,P001_20,,,closed
EVT-P001-023,P001,2024-10-28,验收,终验通过材料一次性完成复核,客户验收组;林澄,验收测试全部通过,签署验收报告,项目交付完成,提前3天,无,P001_21,,,closed
EVT-P001-024,P001,2024-11-08,付款,终验款108万元到账全部回款完成,财务宋仪,终验通过,确认收入360万元,无,无,回款360万元,P001_16;P001_23,,,closed
EVT-P001-025,P001,2024-11-15,结项,项目结项报告批准,PMO;林澄,验收与回款完成,正式结项,无,无,实际成本282万元,P001_22,,,closed
EVT-P001-026,P001,2024-11-22,复盘,经营复盘与知识沉淀完成,林澄;PMO;财务宋仪,结项后复盘要求,输出复盘结论与知识沉淀清单,形成3条可复用经验,无,预算节约18万元,P001_23;P001_24,,,closed
EVT-P002-001,P002,2024-01-15,需求,银行客户提出企业知识助手建设意向,客户信息科技部陈恪;市场负责人,行内知识管理数字化规划,星澜启动售前响应,无,无,无,P002_01,,,closed
EVT-P002-002,P002,2024-01-29,需求,售前需求调研完成,解决方案顾问;陈恪,售前响应安排,形成调研记录与初步范围,初步范围界定,无,无,P002_02,,,closed
EVT-P002-003,P002,2024-02-05,售前,解决方案与报价280万元内部评审通过,解决方案顾问;财务宋仪;法务谭肃,调研成果,批准报价并进入商务谈判,方案与报价基线,无,无,P002_04;P002_05,,,closed
EVT-P002-004,P002,2024-02-19,立项,项目立项批准预算220万元编制9人,PMO;财务宋仪;项目经理周骁,商务条款基本谈定,批准立项,项目基线确立,计划2024-03-01至2024-11-30,预算220万元,P002_06,,,closed
EVT-P002-005,P002,2024-02-26,合同,合同P002-C01签署280万元付款20/30/50,总经理;客户陈恪;法务谭肃,商务谈判完成,签署合同但试运行付款证据条款未按法务意见细化,付款证据定义不清埋下争议伏笔,无,无,P002_15;P002_16,P002-R03,,closed
EVT-P002-006,P002,2024-03-11,启动,项目启动会召开实际较计划晚10天,周骁;项目组7人;客户陈恪,2名知识工程师未到岗,以7人先行启动,启动即存在人员缺口,延期10天,无,P002_08,P002-R01,,closed
EVT-P002-007,P002,2024-03-12,风险,识别风险P002-R01核心实施人员不足,周骁,启动会人员盘点,登记L2风险并提招聘需求,实施产能不足,潜在延期,人力成本增加,P002_18,P002-R01,,closed
