claim_id,knowledge_id,section,claim_summary,claim_type,evidence_ref,evidence_locator,verification_status,notes
CLM-0001,KB005,核心内容,采购金额阈值为星澜模拟内部规则，不是国家规定,SYNTHETIC,SRC-SYN-001,approval_rules.procurement_thresholds,VERIFIED,四档阈值均来自企业事实基线
CLM-0002,POL011,3. 领域规则,小于5万元采用简化采购,SYNTHETIC,SRC-SYN-001,approval_rules.procurement_thresholds,VERIFIED,企业内部控制参数
CLM-0003,POL011,3. 领域规则,5万至20万元原则上三家比选,SYNTHETIC,SRC-SYN-001,approval_rules.procurement_thresholds,VERIFIED,企业内部控制参数
CLM-0004,POL011,3. 领域规则,20万至100万元采用竞争性采购,SYNTHETIC,SRC-SYN-001,approval_rules.procurement_thresholds,VERIFIED,企业内部控制参数
CLM-0005,POL011,3. 领域规则,100万元及以上原则上公开招标或专项审批,SYNTHETIC,SRC-SYN-001,approval_rules.procurement_thresholds,VERIFIED,企业内部控制参数
CLM-0006,REF001,可引用的核心结论,书面劳动合同及必备条款,EXPLICIT,SRC-LAW-001,第10条、第17条,VERIFIED,已按登记原始来源复核
CLM-0007,REF001,可引用的核心结论,试用期工资法定底线,EXPLICIT,SRC-LAW-001,第20条,VERIFIED,已按登记原始来源复核
CLM-0008,REF002,可引用的核心结论,个人信息处理合法性基础,EXPLICIT,SRC-LAW-003,第13条,VERIFIED,已按登记原始来源复核
CLM-0009,REF002,可引用的核心结论,保存期限为实现目的所必要的最短时间,EXPLICIT,SRC-LAW-003,第19条,VERIFIED,已按登记原始来源复核
CLM-0010,REF003,可引用的核心结论,国家建立数据分类分级保护制度,EXPLICIT,SRC-LAW-004,第21条,VERIFIED,已按登记原始来源复核
CLM-0011,REF004,可引用的核心结论,网络运营者实行等级保护并留存网络日志不少于六个月,EXPLICIT,SRC-LAW-002,2025修正文本第23条,VERIFIED,已按登记原始来源复核
CLM-0012,REF005,可引用的核心结论,政府采购法采购人具有法定主体限定,EXPLICIT,SRC-MOF-001,第2条,VERIFIED,已按登记原始来源复核
CLM-0013,REF006,可引用的核心结论,依法适用时中标后在规定期限内订立书面合同,EXPLICIT,SRC-LAW-005,第45条、第46条,VERIFIED,已按登记原始来源复核
CLM-0014,REF007,可引用的核心结论,电子投标须遵循身份、加密和平台程序,EXPLICIT,SRC-LAW-007,第23条至第28条,VERIFIED,已按登记原始来源复核
CLM-0015,REF008,可引用的核心结论,合同应按约全面履行并承担违约责任,EXPLICIT,SRC-LAW-006,民法典第509条、第577条,VERIFIED,已按登记原始来源复核
CLM-0016,REF009,可引用的核心结论,企业建立档案责任制并管理应归档材料,EXPLICIT,SRC-LAW-008,第12条、第13条,VERIFIED,已按登记原始来源复核
CLM-0017,REF009,可引用的核心结论,合规电子档案与传统载体档案具有同等效力,EXPLICIT,SRC-LAW-008,第37条,VERIFIED,已按登记原始来源复核
CLM-0018,REF010,可引用的核心结论,会计处理方法保持一致并建立内部会计监督,EXPLICIT,SRC-LAW-009,第18条、第25条,VERIFIED,已按登记原始来源复核
CLM-0019,POL018,3. 领域规则,作品和第三方材料使用前应核验权利,EXPLICIT,SRC-LAW-010,第10条、第11条及许可使用规则,VERIFIED,已按登记原始来源复核
CLM-0020,POL001,2. 职责分工,人力资源管理办法的职责分工和内部控制要求,DERIVED,KB003;REF001;REF002;REF015,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0021,POL002,2. 职责分工,招聘管理制度的职责分工和内部控制要求,DERIVED,POL001;REF001;REF002;REF015,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0022,POL003,2. 职责分工,培训管理制度的职责分工和内部控制要求,DERIVED,POL001;REF015;KB003,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0023,POL004,2. 职责分工,绩效管理办法的职责分工和内部控制要求,DERIVED,POL001;REF015;KB003,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0024,POL005,2. 职责分工,项目管理制度的职责分工和内部控制要求,DERIVED,KB004;KB005;REF012,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0025,POL006,2. 职责分工,项目立项管理办法的职责分工和内部控制要求,DERIVED,POL005;POL015;KB005,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0026,POL007,2. 职责分工,项目变更管理办法的职责分工和内部控制要求,DERIVED,POL005;POL014;REF012,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0027,POL008,2. 职责分工,会议管理制度的职责分工和内部控制要求,DERIVED,KB003;REF009;REF016,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0028,POL009,2. 职责分工,文档管理制度的职责分工和内部控制要求,DERIVED,KB006;KB008;REF009;REF017,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0029,POL010,2. 职责分工,公文管理办法的职责分工和内部控制要求,DERIVED,POL009;KB008;REF009,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0030,POL011,2. 职责分工,采购管理制度的职责分工和内部控制要求,DERIVED,KB005;REF005;REF013;REF014,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0031,POL012,2. 职责分工,供应商管理制度的职责分工和内部控制要求,DERIVED,POL011;REF014;REF018,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0032,POL013,2. 职责分工,招投标管理制度的职责分工和内部控制要求,DERIVED,KB005;REF005;REF006;REF007,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0033,POL014,2. 职责分工,合同管理制度的职责分工和内部控制要求,DERIVED,KB005;REF008;REF014,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0034,POL015,2. 职责分工,预算管理制度的职责分工和内部控制要求,DERIVED,KB005;REF010;REF014,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0035,POL016,2. 职责分工,项目成本管理制度的职责分工和内部控制要求,DERIVED,POL005;POL015;REF010,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0036,POL017,2. 职责分工,信息安全管理制度的职责分工和内部控制要求,DERIVED,KB007;REF002;REF003;REF004;REF011,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0037,POL018,2. 职责分工,知识产权与保密管理制度的职责分工和内部控制要求,DERIVED,POL014;POL017;REF002;REF008,上游知识及本制度第3至7节,VERIFIED,由上游规则与企业组织模型派生
CLM-0038,SOP001,可执行步骤,客户需求澄清流程不得新增上游制度之外的规则,DERIVED,POL005;REF012;KB011,上游制度与本流程可执行步骤,VERIFIED,
CLM-0039,SOP002,可执行步骤,解决方案设计流程不得新增上游制度之外的规则,DERIVED,POL005;POL018;KB007,上游制度与本流程可执行步骤,VERIFIED,
CLM-0040,SOP003,可执行步骤,项目立项流程不得新增上游制度之外的规则,DERIVED,POL005;POL006;POL015;KB005,上游制度与本流程可执行步骤,VERIFIED,
CLM-0041,SOP004,可执行步骤,WBS与里程碑编制流程不得新增上游制度之外的规则,DERIVED,POL005;POL016;REF012,上游制度与本流程可执行步骤,VERIFIED,
CLM-0042,SOP005,可执行步骤,项目资源配置流程不得新增上游制度之外的规则,DERIVED,POL005;POL001;POL004;KB003,上游制度与本流程可执行步骤,VERIFIED,
CLM-0043,SOP006,可执行步骤,项目启动流程不得新增上游制度之外的规则,DERIVED,POL005;POL008;KB005,上游制度与本流程可执行步骤,VERIFIED,
CLM-0044,SOP007,可执行步骤,项目周报与进度管理流程不得新增上游制度之外的规则,DERIVED,POL005;POL016;POL008,上游制度与本流程可执行步骤,VERIFIED,
CLM-0045,SOP008,可执行步骤,项目风险管理流程不得新增上游制度之外的规则,DERIVED,POL005;POL007;POL017;KB009,上游制度与本流程可执行步骤,VERIFIED,
