agent_id,agent_name,capability,capability_name,required_asset_type,required_asset_ids,minimum_viable_coverage,coverage_status,gap,notes
A01,需求洞察与方案顾问,needs_discovery,需求识别与澄清,SOP;TEMPLATE;PROJECT_CASE,SOP001;TPL002;P001_02,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A01,需求洞察与方案顾问,solution_design,解决方案设计,SOP;TEMPLATE;PROJECT_CASE,SOP002;TPL003;P001_04,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A01,需求洞察与方案顾问,scope_baseline,范围与需求基线,POLICY;SOP;PROJECT_CASE,POL005;SOP009;P002_25,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A01,需求洞察与方案顾问,proposal_evidence,方案证据组织,PUBLIC_REFERENCE;PROJECT_CASE,REF018;P001_04,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A01,需求洞察与方案顾问,bid_collaboration,投标协同,POLICY;SOP;PROJECT_CASE,POL013;SOP029;P001_25,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A01,需求洞察与方案顾问,customer_risk,客户与方案风险,ENTERPRISE_FOUNDATION;SOP;PROJECT_CASE,KB009;SOP008;P002_26,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A02,AI项目经理,project_initiation,项目立项,POLICY;SOP;TEMPLATE,POL005;SOP003;TPL001,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A02,AI项目经理,wbs_milestones,WBS与里程碑,SOP;TEMPLATE;PROJECT_CASE,SOP004;TPL004;P001_07,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A02,AI项目经理,resource_planning,资源配置,SOP;BUSINESS_DATA,SOP005;DATA007;DATA011,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A02,AI项目经理,progress_control,进度管理,SOP;TEMPLATE;PROJECT_CASE,SOP007;TPL005;P002_26,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A02,AI项目经理,risk_control,风险管理,SOP;TEMPLATE;PROJECT_CASE,SOP008;TPL006;P003_27,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A02,AI项目经理,change_control,变更管理,POLICY;SOP;TEMPLATE,POL007;SOP009;TPL007,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A02,AI项目经理,meeting_coordination,会议协同,SOP;TEMPLATE,SOP012;TPL009;TPL010,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A02,AI项目经理,acceptance_closeout,验收结项,SOP;TEMPLATE;PROJECT_CASE,SOP010;SOP011;TPL008;P003_30,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A03,企业知识管家,knowledge_governance,知识治理,ENTERPRISE_FOUNDATION;POLICY,KB006;POL009,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A03,企业知识管家,knowledge_intake_review,知识新增审核,SOP;PROJECT_CASE,SOP019;P001_24,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A03,企业知识管家,version_conflict_control,版本与冲突,SOP;PROJECT_CASE,SOP020;P002_27,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A03,企业知识管家,knowledge_retirement,知识废止归档,SOP;PUBLIC_REFERENCE,SOP021;REF009,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A03,企业知识管家,knowledge_capture,知识沉淀,SOP;PROJECT_CASE,SOP011;P003_24,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A03,企业知识管家,faq_retrieval,FAQ检索,FAQ_RULE;ENTERPRISE_FOUNDATION,FAQ001;FAQ012;KB010,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A03,企业知识管家,cross_domain_retrieval,跨域检索,ENTERPRISE_FOUNDATION;BUSINESS_DATA,KB003;KB011;DATA012,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A04,智能会议协同官,meeting_planning,会议规划,POLICY;SOP;TEMPLATE,POL008;SOP012;TPL009,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A04,智能会议协同官,minutes_generation,纪要生成,SOP;TEMPLATE;PROJECT_CASE,SOP012;TPL010;P001_08,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A04,智能会议协同官,decision_tracking,决策跟踪,FAQ_RULE;TEMPLATE,FAQ005;TPL011,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A04,智能会议协同官,action_followup,待办跟进,SOP;TEMPLATE,SOP007;TPL011,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A04,智能会议协同官,project_coordination,项目协调,ENTERPRISE_FOUNDATION;SOP,KB004;SOP006,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A04,智能会议协同官,meeting_archiving,会议归档,POLICY;SOP;PUBLIC_REFERENCE,POL009;SOP021;REF009,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A05,企业文档创作官,business_writing,企业文档写作,POLICY;SOP;TEMPLATE,POL009;SOP013;TPL014,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A05,企业文档创作官,solution_document,方案文档,SOP;TEMPLATE;PROJECT_CASE,SOP002;TPL003;P001_04,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A05,企业文档创作官,meeting_document,会议文档,SOP;TEMPLATE,SOP012;TPL009;TPL010,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A05,企业文档创作官,template_drafting,模板化创作,ENTERPRISE_FOUNDATION;SOP;TEMPLATE,KB008;SOP024;TPL012,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A05,企业文档创作官,evidence_based_drafting,依据驱动写作,ENTERPRISE_FOUNDATION;PUBLIC_REFERENCE,KB006;REF017,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A05,企业文档创作官,document_archiving,文档归档,POLICY;SOP;PUBLIC_REFERENCE,POL009;SOP021;REF009,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A06,文档规范与排版官,document_format_rules,文档格式规则,ENTERPRISE_FOUNDATION;POLICY,KB008;POL009;POL010,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A06,文档规范与排版官,format_inspection,格式检查,SOP;FAQ_RULE;TEMPLATE,SOP022;FAQ006;TPL021,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A06,文档规范与排版官,typesetting,文档排版,SOP;TEMPLATE,SOP023;TPL012;TPL014,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A06,文档规范与排版官,template_application,模板套用,SOP;TEMPLATE,SOP024;TPL022,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A06,文档规范与排版官,format_repair,格式修复,SOP;TEMPLATE,SOP024;TPL021;TPL022,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A06,文档规范与排版官,positive_negative_examples,正反案例,PROJECT_CASE;FAQ_RULE,CASE004;FAQ006,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A07,AI招聘与人才助手,workforce_request,用人需求,POLICY;SOP;PROJECT_CASE,POL001;SOP005;P001_10,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A07,AI招聘与人才助手,job_description,岗位说明,ROLE;TEMPLATE,ROLE006;TPL015,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A07,AI招聘与人才助手,candidate_screening,候选人筛选,POLICY;SOP;PUBLIC_REFERENCE,POL002;SOP014;REF015,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A07,AI招聘与人才助手,interview_evaluation,面试评价,FAQ_RULE;TEMPLATE,FAQ002;TPL016,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A07,AI招聘与人才助手,offer_onboarding,录用入职,POLICY;SOP,POL002;SOP014;SOP015,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A07,AI招聘与人才助手,privacy_compliance,招聘隐私合规,POLICY;PUBLIC_REFERENCE,POL017;REF002,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A08,培训绩效与员工发展助手,training_governance,培训制度,POLICY;TEMPLATE,POL003;TPL017,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A08,培训绩效与员工发展助手,training_delivery,培训实施,SOP;PROJECT_CASE,SOP015;P001_09,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A08,培训绩效与员工发展助手,competency_model,能力模型,ENTERPRISE_FOUNDATION;ROLE;BUSINESS_DATA,KB003;ROLE006;DATA011,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A08,培训绩效与员工发展助手,performance_governance,绩效制度,POLICY;PUBLIC_REFERENCE,POL004;REF015,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A08,培训绩效与员工发展助手,goal_setting,目标制定,SOP;TEMPLATE;FAQ_RULE,SOP025;TPL023;FAQ003,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A08,培训绩效与员工发展助手,midterm_review,中期回顾,SOP;TEMPLATE,SOP026;TPL024,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A08,培训绩效与员工发展助手,evaluation_feedback,评价反馈,SOP;TEMPLATE,SOP027;TPL025,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A08,培训绩效与员工发展助手,improvement_plan,绩效改进,SOP;TEMPLATE,SOP028;TPL025,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
A09,智能采购顾问,purchase_request,采购申请,POLICY;SOP;TEMPLATE,POL011;SOP016;TPL018,存在明确资产，并包含该能力所需的规则/流程/模板/案例组合,FULL,Stage 2 公开来源尚待核验,FULL 仅表示 Stage 1.1 规划覆盖，不表示来源核验或正文生成已完成
