knowledge_id,knowledge_type,domain,title,served_agents,source_type,project_id,history_level,rag_path,source_path
KB001,ENTERPRISE_FOUNDATION,企业基础,公司简介,A03;A05,SYNTHETIC,,,core/KB001_企业基础_公司简介.md,knowledge/core/KB001_企业基础_公司简介.md
KB002,ENTERPRISE_FOUNDATION,企业基础,组织架构,A02;A03;A07;A08,SYNTHETIC,,,core/KB002_企业基础_组织架构.md,knowledge/core/KB002_企业基础_组织架构.md
KB003,ENTERPRISE_FOUNDATION,企业基础,部门职责,A02;A03;A07;A08;A09;A10;A11;A12,SYNTHETIC,,,core/KB003_企业基础_部门职责.md,knowledge/core/KB003_企业基础_部门职责.md
KB004,ENTERPRISE_FOUNDATION,企业基础,项目制协作模型,A01;A02;A03;A04;A09;A10;A11;A12,SYNTHETIC,,,core/KB004_企业基础_项目制协作模型.md,knowledge/core/KB004_企业基础_项目制协作模型.md
KB005,ENTERPRISE_FOUNDATION,企业基础,权限审批基本原则,A02;A03;A09;A10;A11;A12,SYNTHETIC,,,core/KB005_企业基础_权限审批基本原则.md,knowledge/core/KB005_企业基础_权限审批基本原则.md
KB006,ENTERPRISE_FOUNDATION,企业基础,知识治理与冲突解析,A03;A05;A06;A10;A11,SYNTHETIC,,,core/KB006_企业基础_知识治理与冲突解析.md,knowledge/core/KB006_企业基础_知识治理与冲突解析.md
KB007,ENTERPRISE_FOUNDATION,信息安全数据治理,数据分类分级,A03;A09;A10;A11;A12,SYNTHETIC,,,core/KB007_企业基础_数据分类分级.md,knowledge/core/KB007_企业基础_数据分类分级.md
KB008,ENTERPRISE_FOUNDATION,企业文档,文档与版本规则,A03;A05;A06;A10;A11,SYNTHETIC,,,core/KB008_企业基础_文档与版本规则.md,knowledge/core/KB008_企业基础_文档与版本规则.md
KB009,ENTERPRISE_FOUNDATION,信息安全数据治理,风险等级规则,A01;A02;A09;A10;A11;A12,SYNTHETIC,,,core/KB009_企业基础_风险等级规则.md,knowledge/core/KB009_企业基础_风险等级规则.md
KB010,ENTERPRISE_FOUNDATION,企业基础,业务术语表,A01;A02;A03;A04;A05;A06;A07;A08;A09;A10;A11;A12,SYNTHETIC,,,core/KB010_企业基础_业务术语表.md,knowledge/core/KB010_企业基础_业务术语表.md
